,Power [kW],Temperature [C],Relative Humidity (%),Wind Speed [m/s],Wind Gust [m/s],Pressure [mbar],Solar Radiation [W/m2],Rain [mm/h],Rain Day,Holiday,Power-1,Power-2,Month,Hour,Week Day,Weekend,HDH,logtemp,WeekDay^2,Sin_hour
2018-07-04 14:00:00,120.7730759,20.785,50.126666666666665,0.0,0.0,1021.5833333333334,594.6833333333333,0.0,0.0,0,124.7758671,125.7677835,7,14,3,0,0.0,3.0342315727046008,9,9.295593919237854
2018-07-04 15:00:00,124.7082885,20.791666666666668,50.40166666666667,0.0,0.0,1021.9166666666666,655.9083333333333,0.0,0.0,0,120.7730759,124.7758671,7,15,3,0,0.0,3.034552265403573,9,8.024659857791692
2018-07-04 16:00:00,127.5735066,20.993333333333332,48.5525,0.0,0.0,1021.9166666666666,681.6583333333333,0.0,0.0,0,124.7082885,120.7730759,7,16,3,0,0.0,3.0442049270047686,9,6.206858488414452
2018-07-04 17:00:00,124.7239423,20.838333333333335,52.00333333333333,0.0,0.0,1022.0,653.4416666666667,0.0,0.0,0,127.5735066,124.7082885,7,17,3,0,0.0,3.036794239278853,9,3.96606997037041
2018-07-04 18:00:00,117.3469936,20.31416666666667,55.145833333333336,0.0,0.0,1022.0,425.6583333333333,0.0,0.0,0,124.7239423,127.5735066,7,18,3,0,0.0,3.0113185080059854,9,1.455000338086137
2018-07-04 19:00:00,120.6459365,19.816666666666666,58.12416666666667,0.0,0.0,1022.0,246.475,0.0,0.0,0,117.3469936,124.7239423,7,19,3,0,0.0,2.9865233344686812,9,-1.1552251627369503
2018-07-04 20:00:00,115.7146077,19.053333333333335,62.00416666666666,0.0,0.0,1022.1666666666666,68.2,0.0,0.0,0,120.6459365,117.3469936,7,20,3,0,0.0,2.947242064393557,9,-3.6867239778193617
2018-07-04 21:00:00,109.0850325,18.066666666666666,67.44666666666667,0.0,0.0,1023.0,2.61775,0.0,0.0,0,115.7146077,120.6459365,7,21,3,0,0.0,2.894068619777491,9,-5.966978646412833
2018-07-04 22:00:00,107.0744737,17.540833333333335,69.20916666666666,0.0,0.0,1023.8333333333334,1.7785833333333334,0.0,0.0,0,109.0850325,115.7146077,7,22,3,0,0.0,2.864531496267751,9,-7.840593581151714
2018-07-04 23:00:00,107.3596783,17.1675,70.08333333333333,0.0,0.0,1024.0,2.0925,0.0,0.0,0,107.0744737,109.0850325,7,23,3,0,0.0,2.8430180615126943,9,-9.179885020528637
2018-07-05 00:00:00,99.7462045,16.675833333333333,73.35000000000001,0.0,0.0,1024.0,2.0948333333333333,0.0,0.0,0,107.3596783,107.0744737,7,0,4,0,0.0,2.813960565565472,16,-9.893582466233818
2018-07-05 01:00:00,106.2537946,16.398333333333333,74.21666666666667,0.0,0.0,1024.0,2.1089166666666666,0.0,0.0,0,99.7462045,107.3596783,7,1,4,0,0.0,2.7971797036496193,16,-9.933048616783237
2018-07-05 02:00:00,107.4051125,16.1875,75.55833333333334,0.0,0.0,1024.0,1.9173333333333333,0.0,0.0,0,106.2537946,99.7462045,7,2,4,0,0.0,2.7842393394597567,16,-9.29559391923785
2018-07-05 03:00:00,104.9929001,16.099999999999998,77.64166666666667,0.0,0.0,1023.25,1.7651666666666666,0.0,0.0,0,107.4051125,106.2537946,7,3,4,0,0.0,2.7788192719904172,16,-8.024659857791685
2018-07-05 04:00:00,105.067542,16.2025,78.43333333333334,0.0,0.0,1023.0,1.86425,0.0,0.0,0,104.9929001,107.4051125,7,4,4,0,0.0,2.785165551319734,16,-6.2068584884144515
2018-07-05 05:00:00,109.1363846,16.4275,77.825,0.0,0.0,1023.0,1.8896666666666666,0.0,0.0,0,105.067542,104.9929001,7,5,4,0,0.0,2.7989567597898857,16,-3.9660699703704005
2018-07-05 06:00:00,120.4485459,16.659166666666668,77.39166666666667,0.0,0.0,1023.75,6.354583333333333,0.0,0.0,0,109.1363846,105.067542,7,6,4,0,0.0,2.812960615479651,16,-1.455000338086136
2018-07-05 07:00:00,196.401738,17.026666666666667,75.39166666666667,0.0,0.0,1024.0,83.03083333333333,0.0,0.0,0,120.4485459,109.1363846,7,7,4,0,0.0,2.834780742496229,16,1.1552251627369516
2018-07-05 08:00:00,294.5661451,17.691666666666666,70.575,0.0,0.0,1024.0,219.025,0.0,0.0,0,196.401738,120.4485459,7,8,4,0,0.0,2.87309371892121,16,3.686723977819363
2018-07-05 09:00:00,320.278657,18.865833333333335,64.01083333333334,0.0,0.0,1024.0,494.0916666666667,0.0,0.0,0,294.5661451,196.401738,7,9,4,0,0.0,2.937352525954214,16,5.966978646412833
2018-07-05 10:00:00,324.0218242,19.604166666666668,57.95666666666667,0.0,0.0,1024.0,519.4666666666667,0.0,0.0,0,320.278657,294.5661451,7,10,4,0,0.0,2.9757421286774886,16,7.8405935811517145
